Tribe Full Name,Tribe,Tribe Alternate Name,Tribal Component,Salutation,First Name,Middle Name,Last Name,Suffix,aka,Job Title,Organization,BIA Region,BIA Agency,Address 1,Address 2,City,State,StateName,ZIPCode,Alaska,Phone,Fax,E-mail,Web Site,FEDEX Address 1,FEDEX Address 2,FEDEX City,FEDEX State,FEDEX ZipCode,Date Elected,Next Election,Directory,Notes,ANCSA Region,BLM Region,BOR Region,FWS Region,LCC,NPS Region,USGS Region,Latitude,Longitude,Modified
Cahuilla Band of Indians,Cahuilla,Cahuilla Reservation,Tribe,,Daniel,,Salgado,,,Chairman,,Pacific,Southern California Agency,52701 Highway 371,,Anza,CA,California,92539-1760,No,(951) 763-5549,(951) 763-2808,tribalcouncil@cahuilla.net,,52701 Highway 371,,Anza,CA,92539,1/10/2016,1/10/2020,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,33.5441869,-116.732985,4/10/2018 12:16
"California Valley Miwok Tribe, California",California Valley,,Tribe,,Contact BIA Servicing Office/Agency,,,,,,,Pacific,Central California Agency,,,,CA,,,No,,,,,,,,,,,,Tribal,Litigation Pending in Federal court.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,36.778261,-119.4179324,2/23/2017 14:02
"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",Campo,Campo Indian Reservation,Tribe,,Ralph,,Goff,,,Chairman,,Pacific,Southern California Agency,36190 Church Road,Suite 1,Campo,CA,California,91906,No,(619) 478-9046,(619) 478-5818,,http://www.campo-nsn.gov,SAME,,,,,4/28/2016,4/28/2020,Tribal,,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,32.662084,-116.3704436,2/23/2017 14:02
"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California)",Capitan Grande,Barona Reservation,Tribe,,Edwin,,Romero,,,Chairman,,Pacific,Southern California Agency,1095 Barona Road,,Lakeside,CA,California,92040,No,(619) 443-6612,(619) 443-0681,counciloffice@barona-nsn.gov,http://www.barona-nsn.gov/,SAME,,,,,12/1/2012,12/1/2016,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,32.9421047,-116.8559394,4/3/2017 9:53
"Capitan Grande Band of Diegueno Mission Indians of California: Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California",Viejas,Viejas Reservation,Tribe,,Robert,,Welch,Jr.,,Chairman,,Pacific,Southern California Agency,P.O. Box 908,,Alpine,CA,California,91901,No,(619) 445-3810,(619) 445-5337,,http://www.viejasbandofkumeyaay.org,1 Viejas Grade Road,,Alpine,CA,91901,12/12/2016,12/12/2020,Tribal,Actual election date TBD. ,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,32.8350521,-116.7664109,4/12/2018 10:07
Catawba Indian Nation,Catawba,,Tribe,,William,,Harris,,,Chief,,Eastern,Eastern Regional Office,996 Avenue of the Nations,,Rock Hill,SC,South Carolina,29730,No,(803) 366-4792,(803) 327-4853,bill.harris@catawbaindian.net,http://www.catawbaindian.net,SAME,,,,,8/1/2015,7/31/2019,Tribal,,,Eastern States,,Region 4 - Southeast,,Southeast,Southeast,34.9094159,-80.8806314,2/23/2017 14:02
Cayuga Nation,Cayuga Nation of New York,,Tribe,,Clint,,Halftown,,,Nation Representative,,Eastern,Eastern Regional Office,"Cayuga Nation, P.O. Box 803",,Seneca Falls,NY,New York,13148,No,315-568-0750   ,315-252-1092,sharon.leroy@cayuganation-nsn.gov,http://www.cayuganation-nsn.gov,,,,,,,,Tribal,(On going leadership dispute),,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,42.9106219,-76.7966215,7/31/2017 13:21
"Cedarville Rancheria, California",Cedarville,,Tribe,,Richard,,Lash,,,Chairperson,,Pacific,Northern California Agency,300 West 1st Street,,Alturas,CA,California,96101,No,(530) 233-3969,(530) 233-4776,"cr.bpenn@gmail.com, cr.munholand@gmail.com",http://www.cedarvillerancheria.net,SAME,,,,,1/13/2018,1/13/2020,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,41.4839709,-120.545339,3/9/2018 10:11
"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",Chemehuevi,,Tribe,,Charles,F.,Wood,,,Chairman,,Western,Colorado River Agency,P.O. Box 1976,,Havasu Lake,CA,California,92363,No,(760) 858-4301,(760) 858-5400,citchairman@yahoo.com,http://www.chemehuevi.net,1990 Palo Verde,,Blythe,CA,92363,,,Tribal,,,California,Lower Colorado,Region 8 - Pacific Southwest,,Pacific West,Pacific,34.7275112,-114.5955356,2/23/2017 14:02
"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",Cher-Ae Heights,Trinidad Rancheria,Tribe,,Garth,,Sundberg,Sr.,,Chairman,,Pacific,Northern California Agency,P.O. Box 630,,Trinidad,CA,California,95570,No,(707) 677-0211,(707) 677-3921,,http://www.trinidad-rancheria.org,1 Cher-ae Lane,,Trinidad,CA,95570,4/1/2012,4/1/2016,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,41.059291,-124.1431246,2/23/2017 14:02
Cherokee Nation,Cherokee,,Tribe,,Bill John,,Baker,,,Principal Chief,,Eastern Oklahoma,Eastern Oklahoma Regional Office,P.O. Box 948,,Tahlequah,OK,Oklahoma,74465,No,(918) 456-0671,(918) 458-5580,bill-baker@cherokee.org,http://www.cherokee.org,17675 South Muskogee Avenue,,Tahlequah,OK,74464,6/27/2015,6/22/2019,,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,35.9017365,-94.9744127,2/23/2017 14:02
"Cheyenne and Arapaho Tribes, Oklahoma",Cheyenne River,,Tribe,,Eddie,,Hamilton,,,Governor,,Southern Plains,Concho Agency,P.O. Box 38,,Concho,OK,Oklahoma,73022,No,(800) 247-4612,(405) 422-7734,ehamilton@c-a-tribes.org,http://www.c-a-tribes.org,100 Red Moon Circle,,Concho,OK,73022,12/31/2015,12/31/2017,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.6147243,-97.9925236,2/23/2017 14:02
"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, SD",Cheyenne-Arapaho,Cheyenne-Arapaho Tribes of Okalahoma,Tribe,,Harold,,Frazier,,,Chairman,,Great Plains,Cheyenne River Agency,P.O. Box 590,,Eagle Butte,SD,South Dakota,57625,No,(605) 964-4155,(605) 964-4151,,http://www.sioux.org,2001 N. Main Street,,Eagle Butte,SD,57625,9/2/2014,11/6/2018,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,44.9886537,-101.2224805,2/23/2017 14:02
Chicken Ranch Rancheria of Me-wuk Indians of California,Chicken Ranch,Chicken Ranch Rancheria,Tribe,,Melissa,,Powell,,,Chairperson,,Pacific,Central California Agency,P.O. Box 1159,,Jamestown,CA,California,95327,No,(209) 984-9066,(209) 984-5606,chixrnch@mlode.com,,16955 Nelson Road,,Jamestown,CA,95327,1/5/2014,12/31/2014,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,37.9532584,-120.4226952,2/23/2017 14:02
"Chippewa Cree Indians of the Rocky Boy's Reservation, MT",Chippewa-Cree,,Tribe,,Harlan,,Baker,,,Chairman,,Rocky Mountain,Rocky Boy's Field Office,96 Clinic Road,,Box Elder,MT,Montana,59521,No,(406) 395-4282,(406) 395-4382,chairman@cct.rockyboy.org,http://www.rockyboy.org,SAME,,,,,,,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Intermountain,Northwest,48.261671,-109.783598,2/23/2017 14:02
Chitimacha Tribe of Louisiana,Chitimacha,,Tribe,,Melissa,M. ,Darden,,,Chairman,,Eastern,Eastern Regional Office,P.O. Box 661,,Charenton,LA,Louisiana,70523,No,(337) 923-4973,(337) 923-6848,info@chitimacha.gov,http://www.chitimacha.gov,155 Chitimacha Loop,,Charenton,LA,70523,6/1/2017,6/1/2019,Tribal,"Will not be sworn in until August 1, 2017.",,Eastern States,,Region 4 - Southeast,,Southeast,Southeast,29.883239,-91.5247963,7/19/2017 10:00
Citizen Potawatomi Nation (Oklahoma),Citizen Potawatomi,,Tribe,,John,,Barrett,,Rocky,Chairman,,Southern Plains,Southern Plains Regional Office,1601 South Gordon Cooper Drive,,Shawnee,OK,Oklahoma,74801,No,(405) 275-3121,(405) 275-0198,jbarrett@potawatomi.org,http://www.potawatomi.org,SAME,,,,,6/29/2013,6/24/2017,Tribal,OSG,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.3013281,-96.9245339,2/23/2017 14:02
Cloverdale Rancheria of Pomo Indians of California,Cloverdale,Cloverdale Rancheria,Tribe,,Patricia,,Hermosillo,,,Chairperson,,Pacific,Central California Agency,555 S. Cloverdale Boulevard,,Cloverdale,CA,California,95425,No,(707) 894-5775,(707) 894-5727,,http://www.cloverdalerancheria.com,SAME,,,,,,,Tribal,Contact Tribe for election information.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,38.7958305,-123.0193963,3/9/2018 16:22
Cocopah Tribe of Arizona,Cocopah,,Tribe,,Sherry,,Cordova,,,Chairperson,,Western,Fort Yuma Agency,County 15th & Avenue G,,Somerton,AZ,Arizona,85350,No,(928) 627-2102,(928) 627-3173,cocotcsec@cocopah.com,http://www.cocopah.com,SAME,,,,,,,Tribal,,,Arizona,Lower Colorado,Region 2 - Southwest,,Intermountain,Southwest,32.6111128,-114.6842612,2/23/2017 14:02
Coeur D'Alene Tribe,Coeur D'Alene,,Tribe,,Chief,J.,Allan,,,Chairman,,Northwest,Coeur d'Alene Agency,P.O. Box 408,,Plummer,ID,Idaho,83851-0408,No,(208) 686-1800,(208) 686-8813,chief@cdatribe-nsn.gov,http://www.cdatribe-nsn.gov/,850 A Street,,Plummer,ID,83851,5/5/2012,5/5/2018,Tribal,,,Idaho,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.3351803,-116.8885094,2/23/2017 14:02
Cold Springs Rancheria of Mono Indians of California,Cold Springs,,Tribe,,Jefferey,,Lee,,,Chairperson,,Pacific,Central California Agency,P.O. Box 209,,Tollhouse,CA,California,93667,No,(559) 855-5043,(559) 855-4445,,http://www.coldspringsrancheria.com,32861 Sycamore Road #300,,Tollhouse,CA,93667,5/31/2014,5/1/2015,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,37.0190155,-119.3991908,2/23/2017 14:02
"Colorado River Indian Tribes of the Colorado Indian Reservation, Arizona and California",Colorado River,,Tribe,,Dennis,,Patch,,,Chairman,,Western,Colorado River Agency,26600 Mohave Road,,Parker,AZ,Arizona,85344,No,(928) 669-9211,(928) 669-1216,executiveoffice@crit-nsn.gov,,SAME,,,,,12/13/2013,12/31/2016,Tribal,,,Arizona,Lower Colorado,Region 2 - Southwest,,Intermountain,Southwest,33.9446161,-114.4231386,2/23/2017 14:02
"Comanche Nation, Oklahoma",Comanche,,Tribe,,William,,Nelson,Sr.,,Chairman,,Southern Plains,Anadarko Agency,P.O. Bpx 908,,Lawton,OK,Oklahoma,73502,No,(580) 492-4988,(580) 492-3796,williamn@comanchenation.com,http://www.comanchenation.com,584 NW Bingo Road,,Elgin,OK,73538,5/31/2015,5/31/2018,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,34.7270755,-98.4011745,10/20/2017 5:50
Confederated Salish & Kootenai Tribes of the Flathead Reservation,Confederated Salish,,Tribe,,Ron,,Trahan,,,Chairman,,Northwest,Flathead Agency,P.O. Box 278,,Pablo,MT,Montana,59855-0278,No,(406) 675-2700,(406) 675-2806,council@cskt.org,http://www.cskt.org,42487 Complex Boulevard,,Pablo,MT,59855,12/9/2017,12/1/2019,Tribal,Elections are every two years; actual date varies.,,Montana/Dakotas,Pacific Northwest,Region 6 - Mountain-Prairie,,Intermountain,Northwest,47.602957,-114.1195251,1/9/2018 7:02
Confederated Tribes and Bands of the Yakama Nation,Confederated Yakama,,Tribe,,JoDe,L.,Goudy,,,Chairman,,Northwest,Yakama Agency,P.O. Box 151,,Toppenish,WA,Washington,98948-0151,No,(509) 865-5121,(509) 865-5528,JoDe@yakama.com,http://www.yakamanation-nsn.gov,401 Fort Road,,Toppenish,WA,98948,1/22/2016,11/30/2019,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,46.3773509,-120.3086667,3/29/2018 8:05
